market_rent,rent_latest,rent_12mo_ago,size_rank,rent_growth_pct,metro_key,market_home,home_value_latest,home_value_12mo_ago,size_rank_hv,home_value_growth_pct,census_market,population_growth_pct,population_end,acs_market,income_latest,income_growth_annualized_pct,market_display,rent_to_value,growth_score,value_score,balanced_score,affordability_gap
"Columbus, OH",1513.553430555177,1488.2461322575805,32,1.7004780156362278,columbus,"Columbus, OH",326730.1088525419,322982.6741664121,32,1.160258733940318,"Columbus, OH",1.7916844663253801,2180271.0,"Columbus, OH Metro Area",81945.0,4.6939553724049565,"Columbus, OH",0.055589125931639165,2.363605111161516,3.8454542184727796,2.7881361074177753,3.5336966384646384
"Durham, NC",1684.4096382150058,1664.1748939049062,95,1.2159025102595877,durham,"Durham, NC",409974.22291276447,416334.7074820108,95,-1.5277334449761635,"Durham-Chapel Hill, NC",4.0783221086458585,608879.0,"Durham-Chapel Hill, NC Metro Area",83500.0,6.036411868524683,"Durham, NC",0.04930289400873146,2.587907558375279,3.765452359009819,2.7609191441347445,7.5641453135008465
"Bakersfield, CA",1761.692434769421,1720.3813185916904,63,2.401276724601264,bakersfield,"Bakersfield, CA",363091.18358529016,364501.201639616,63,-0.3868349536251799,"Bakersfield-Delano, CA",0.8731551699396187,913820.0,"Bakersfield-Delano, CA Metro Area",70210.0,5.6459638860176575,"Bakersfield, CA",0.058223141108760056,2.272795790644662,3.9194172216154657,2.7001231182481362,6.032798839642838
"Raleigh, NC",1662.0049701027958,1659.1826465574172,43,0.17010324639270666,raleigh,"Raleigh, NC",436132.6376012933,446841.9026373772,43,-2.396656395220561,"Raleigh-Cary, NC",6.474702900621184,1509231.0,"Raleigh-Cary, NC Metro Area",100103.0,5.705395738776775,"Raleigh, NC",0.045729344519880095,2.616724354723189,3.670685146741148,2.685154428231858,8.102052133997336
"Riverside, CA",2492.866513946809,2448.034540006592,13,1.8313456451515626,riverside,"Riverside, CA",585180.6156932806,593778.7719120906,13,-1.44804035198533,"Riverside-San Bernardino-Ontario, CA",1.772952493756491,4688053.0,"Riverside-San Bernardino-Ontario, CA Metro Area",89662.0,6.6049748909771555,"Riverside, CA",0.0511199403485388,2.3542774693318145,3.6869842349684943,2.610612923065636,8.053015242962486
"Birmingham, AL",1406.9167294316028,1384.8255094986437,51,1.5952349073174519,birmingham,"Birmingham, AL",259032.550894902,255663.93351989324,51,1.3175958488281059,"Birmingham, AL",0.212730669771598,1184290.0,"Birmingham, AL Metro Area",71498.0,4.473298783512125,"Birmingham, AL",0.06517713968708597,1.9135970052817874,4.0069205248918545,2.577190882558018,3.1557029346840193
"Boston, MA",3148.343094068694,3087.2312285189846,10,1.9795039964993526,boston,"Boston, MA",731138.5580115025,719664.3386156372,10,1.5943848791976283,"Boston-Cambridge-Newton, MA-NH",-0.2933122536053429,4919179.0,"Boston-Cambridge-Newton, MA-NH Metro Area",115863.0,5.104102280425837,"Boston, MA",0.05167299236901955,2.115425681494455,3.5032672480236196,2.5510058658637558,3.509717401228209
"Baton Rouge, LA",1361.240857011272,1330.830852997171,66,2.2850389999311016,baton rouge,"Baton Rouge, LA",245384.55691368552,244028.3291739169,66,0.5557665146336574,"Baton Rouge, LA",0.3878035496377053,873661.0,"Baton Rouge, LA Metro Area",69599.0,3.3903121621316368,"Baton Rouge, LA",0.06656853426143314,1.7411939308483975,3.9606338999829234,2.4365642091848723,2.834545647497979
"Stockton, CA",2395.9998993430813,2358.985678067368,77,1.5690735903932083,stockton,"Stockton, CA",532709.7845811122,555057.2187232263,77,-4.026149627153566,"Stockton-Lodi, CA",2.6066560169711908,800965.0,"Stockton-Lodi, CA Metro Area",92179.0,7.4251765299154115,"Stockton, CA",0.053973100596839324,2.1734502884088998,3.7663104847343845,2.4030014904974992,11.451326157068976
"Orlando, FL",1937.2623204892773,1938.1784745570292,22,-0.04726881862421319,orlando,"Orlando, FL",385990.816002782,400792.0550782831,22,-3.692997126055831,"Orlando-Kissimmee-Sanford, FL",5.127493433106099,2817933.0,"Orlando-Kissimmee-Sanford, FL Metro Area",78533.0,6.1146815635548135,"Orlando, FL",0.060227204591582234,2.057763678366798,4.020160420721122,2.4014264383386967,9.807678689610645
